line_no,doi,compound,entity,title,year,authors,existing_sources
5,10.25593/open-fau-2619,LSD,5-HT5A,Effects of Serotonergic Psychedelics on Synaptic Function and Neuroplasticity,2026,Aneta Petrušková,candidate_paper_corpus | mechanistic:paper_library
9,10.3390/ijms27010465,Psilocybin,5-HT6,Harnessing Dietary Tryptophan: Bridging the Gap Between Neurobiology and Psychiatry in Depression Management,2026,Amanda Chabrour Chehadi; Enzo Pereira de Lima; Cláudia Rucco Penteado Detregiachi; Rafael Santos de Argollo Haber; Virgínia Maria Cavallari Strozze Catharin; Lucas Fornari Laurindo; Vítor Engrácia Valenti; Cristiano Machado Galhardi; Masaru Tanaka; Sandra Maria Barbalho,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
11,10.1038/s41467-026-68763-z,Psilocybin,5-HT1D,No evidence of immediate or persistent analgesic effect from a single dose of psilocybin in three mouse models of pain,2026,Nicholas Gregory; Tyler E. Girard; Akila Ram; Austen B. Casey; RC Malenka; Vivianne L. Tawfik; Boris D. Heifets,candidate_paper_corpus | disorder:paper_library
12,10.3390/biomedicines14020476,LSD,kappa opioid receptor (OPRK1),Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A,2026,Maximiliano Ganado; Carmen Rubio; Javier Pérez-Villavicencio; Norma Serrano; Héctor Romo-Parra; Ángel Lee; Moisés Rubio-Osornio,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
13,10.7759/cureus.100719,Psilocybin,SERT (SLC6A4),"Safety Concerns, Mechanistic Pathways, and Knowledge Gaps in the Clinical Use of Selective Serotonin Reuptake Inhibitors",2026,Adrian Chin Yan Chan,candidate_paper_corpus | disorder:paper_library
14,10.64898/2026.04.16.718915,LSD,5-HT1D,Serotonergic Polypharmacology of 2-Halogenated Tryptamines,2026,Jeanine Yacoub; Elena Bray; Jude Bayyat; Grant C. Glatfelter; Alex Leake; Emilia M Buitrago; Alexander D. Maitland; John Partilla; Natalie G. Cavalco; Serena S. Schalk,candidate_paper_corpus | mechanistic:paper_library
15,10.1038/s41380-026-03447-0,Psilocybin,5-HT1D,Spatiotemporal mapping of brain organisation following the administration of 2C-B and psilocybin,2026,Pablo Mallaroni; S. Parker Singleton; Natasha L. Mason; Theodore D. Satterthwaite; Johannes G. Ramaekers,candidate_paper_corpus | mechanistic:paper_library
16,10.1038/s41380-025-03128-4,Psilocybin,SERT (SLC6A4),5-HT2C receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2025,Matthew B. Pomrenze; Sam Vaillancourt; Juliana S. Salgado; Kendall B. Raymond; Pierre Llorach; Hiroaki Sacai; Daniel Ryskamp Rijsketic; Tuuli M. Hietamies; Gavin Touponse; Daniel F. Cardozo Pinto,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
17,10.2218/gtopdb/f1/2025.3,LSD,5-HT1E,5-Hydroxytryptamine receptors in GtoPdb v.2025.3,2025,Ricardo Andrade; P.P.A. Humphrey; Klaus Peter Latté; Luc Maroteaux; Graeme R. Martin; Derek N. Middlemiss; Ewan J. Mylecharane; John F. Neumaier; Stephen J. Peroutka; John A. Peters,candidate_paper_corpus | mechanistic:paper_library
18,10.3389/fnins.2025.1587794,Psilocybin,D4 receptor (DRD4),"A review of the neuroscience of religion: an overview of the field, its limitations, and future interventions",2025,Harrison M. Carvour; Anna K. Radke; N French,candidate_paper_corpus | mechanistic:paper_library
