# new DOI queue (mechanistic) generated at 2026-05-15T06:37:23.622233+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1002/cmdc.202500856,,,A Novel Tertiary Carbamate Prodrug Strategy to Overcome Metabolic Barriers in Oral Ketamine Delivery.,2026,Järvinen J; Adla SK; Tampio J; Jalkanen A; Sloan KB; Huttunen KM; Rautio J
10.1016/j.pbb.2025.174144,,,A systematic review of ketamine's anxiolytic potential in rodent behavioral models of anxiety and PTSD.,2026,Lemeshova A; Patel KA; Bloom AJ; Golan L; Haidari H; Limbada A; Zhao C; Honeycutt JA
10.1016/j.biopsych.2026.03.1008,,,"Baseline Mismatch Negativity Amplitude Predicts Direction and Magnitude of Ketamine Effect in Healthy Volunteers - A ""Disordinal"" Effect.",2026,Cecchi M; Johannesen J; Farley B; Quirk MC; Mahmoud-Zadeh M; Uslaner JM; Terry-Lorenzo R; Smith DG; Ruhl DA; Rotte M
10.1016/j.psychres.2026.116995,,,Biological variations in ketamine sensitivity: insights from hyperlocomotion to psychotomimetic features in genetically diverse mouse strains.,2026,Siao WH; Wang TS; Wang LC; Chen ML; Chen YC
10.1080/15226514.2026.2632121,,,"Cerium dioxide nanoparticles protect Catharanthus roseus against arsenic (As) toxicity by enhancing oxidative tolerance, modulating gene expression and minimizing As uptake.",2026,Khan WU; Munir B; Akram W; Rehman A; Shaikh IA; Sardar R; Munir I; Yasin NA
10.1007/s42977-025-00293-z,,,"Combined use of proline and microbes on yield attributes, photosynthetic efficiency, water relations, nutrient acquisition and antioxidative defense mechanisms of fennel plants under drought conditions.",2026,Virk TA; Haider MZ; Ali Q
10.1038/s41598-026-49287-4,,,Esketamine-sufentanil PCA reduces postoperative depression state in elderly colorectal cancer patients: a randomized controlled trial.,2026,Ding R; Wang D; Wang G; Lin Y; Wu D; Zhang M; Ren Y; Kang W; Lin G
10.1016/j.ecoenv.2026.119674,,,Heavy metal tolerance and metal ion homeostasis in soybean (Glycine max L.) driven by the synergistic effect of Pseudomonas qingdaonensis strain BD1 and Illite.,2026,Injamum-Ul-Hoque M; Imran M; Ahsan SM; Mahadi Hasan M; Atikur Rahman M; Kang SM; Shaffique S; Kumar Das A; Yun BW; Lee IJ
10.1093/ijnp/pyag020,,,"Increase of the AMPA-evoked response of pyramidal neurons in the rat medial prefrontal cortex following acute administration of ketamine and S-ketamine, but not R-ketamine.",2026,El Mansari M; Okamoto N; Blier P
10.3390/ijms27052230,,,Inflammasome Activation by Neutrophil Extracellular Traps (NETs) in the MDA-MB-231 Human Breast Cancer Cell Line.,2026,Silva AGD; Pereira E; Almeida VH; Pinto LD; Souza JL; Tilli TM; Coutinho-Silva R; Medei E; Konig S; Monteiro RQ
10.3389/fphar.2026.1764201,,,Intranasal delivery of the NMDA receptor antagonist MK-801 attenuates ultra-acute excitotoxic neurochemical responses after concussion in rats: comparative pharmacological evaluation against ketamine.,2026,Masse I; Moquin L; Bouchard C; Legroux L; Gratton A; De Beaumont L
10.1002/jnr.70102,,,Modulation of Magnetic Resonance Spectroscopy Levels of Glutamate and GABA by Ketamine in Treatment-Resistant Depression.,2026,Njau S; Zavaliangos-Petropulu A; Joshi S; Brooks J; O'Neill J; Roger WP; Norris V; Espinoza RT; Narr KL
10.1016/j.aquatox.2025.107687,,,Molecular interactions and biomarker responses to pharmaceutical contaminants in aquatic species.,2026,Roy D; Rejili M; Ghafoor W; Sarwar I; Rao DP; Barasarathi J; Atamuratova Z; Yulduz U
10.1038/s41380-026-03527-1,,,NADPH oxidase-1 suppression prolongs the antidepressant-like effect of ketamine.,2026,Nakajima W; Arisawa T; Jitsuki S; Yamanoue T; Fujikawa K; Hara M; Sano A; Takada Y; Iai R; Kimura K
10.1016/j.pnpbp.2026.111742,,,NMDA receptor subtype differential affinity as a key enabler for precision neuropsychiatry.,2026,Freyssin A; Benabou R; Müller HZ; Davis S; Perin-Dureau F; Danker T; Rubinstenn G
