line_no,doi,compound,entity,title,year,authors,existing_sources
9,10.1038/s41586-026-10139-w,,,Conformational diversity and fully opening mechanism of native NMDA receptor.,2026,Xu R; Jiang Q; Xu H; Zhang L; Hu X; Lu Z; Deng H; Xiong H; Zhang S; Chen Z,candidate_paper_corpus | mechanistic:paper_library
10,10.1016/j.jaac.2026.03.007,,,Editorial: Retuning the Adolescent Brain: Esketamine and Rapid Structural Change in the rACC.,2026,Liu Y; Wang Q,candidate_paper_corpus | mechanistic:paper_library
11,10.1016/j.jphs.2026.04.002,,,Enhanced effect of the hallucinogen DOI in L-DOPA receptor Gpr143-deficient mice.,2026,Masukawa D; Tajika R; Ichimaru Y; Kurihara M; Suzuki T; Goshima Y,candidate_paper_corpus | mechanistic:paper_library
12,10.1002/jbt.70839,,,Esketamine Exposure Affects Neurodevelopment and Glutamate-NMDAR Signaling in Zebrafish Larvae.,2026,Wang J; Huang S; Lin T; Fu Z; Zuo Z; Chen Z; He C,candidate_paper_corpus | mechanistic:paper_library
13,10.1038/s41598-026-38137-y,,,Esketamine attenuates bone cancer pain by suppressing MAPK signaling and glial activation in the spinal dorsal horn of rats.,2026,Cheng L; Wang D; Zhang Z; Zhang Y; Tang Y; Bao K; Guo B; Zhang K; Chen Y; Ren H,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
15,10.7759/cureus.105219,,,Evaluation of Current Evidence on the Efficacy of Esketamine in Treating Substance-Use Disorders in Patients With Treatment-Resistant Depression (TRD): A Narrative Review.,2026,Shelke S; Thummalapally RR,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
20,10.1080/17581869.2026.2627884,,,Ketamine for acute and chronic pain: beyond anaesthesia.,2026,Duong HG; Pulskamp TG; Berlau DJ,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library
21,10.3389/fpsyt.2026.1766485,,,Ketamine for negative and depressive symptoms in schizophrenia: the evidence so far.,2026,Diendorfer CM; Bum C; Weidenauer A; Sauerzopf U; Bartova L; Dajic I; Müller L; Rujescu D; Praschak-Rieder N; Willeit M,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
22,10.1016/j.pnpbp.2026.111651,,,Ketamine pharmacotherapy for major depressive disorder: A narrative review.,2026,Miller CH; Hickman A; Baten C; Ali Z; Kahlon SK; Klassen AM; Zamora G; Shepherd JH; Venegas G; Miller JA,candidate_paper_corpus | disorder:paper_library
23,10.1038/s41380-025-03338-w,,,"Ketamine reduces microglial activation and brain monocyte infiltration and promotes peripheral regulatory immune cells, relieving lipopolysaccharide (LPS)-induced depressive-like behavior in mice.",2026,Arena AR; Rubinstein MR; Genaro AM; Tifner V; Risnik DM; López-Carvajal JE; Daray FM; Carrera Silva EA; Errasti AE,candidate_paper_corpus | mechanistic:paper_library
24,10.1080/14728222.2026.2619757,,,"Modulating tonic NMDA receptor currents: mechanistic insights into ketamine, esketamine, and dextromethorphan for major depressive disorder and implications for the discovery and development of investigational agents.",2026,Le GH; McIntyre RS,candidate_paper_corpus | disorder:exploratory | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
27,10.1016/j.biopsych.2025.07.004,,,Mu Opioid Receptor Activation Is Required for NMDA Receptor Antagonist Effects on Stress-Induced Maladaptive Behavior.,2026,Langreck CB; Chen BK; Luna VM; Nelson M; Turi G; Hill R; Rubinstenn G; Canals M; Lane JR; Denny CA,candidate_paper_corpus | mechanistic:paper_library
