line_no,doi,compound,entity,title,year,authors,existing_sources
5,10.25593/open-fau-2619,,5-HT5A,Effects of Serotonergic Psychedelics on Synaptic Function and Neuroplasticity,2026,Aneta Petrušková,candidate_paper_corpus | mechanistic:paper_library
9,10.1038/s41598-026-39483-7,,SERT (SLC6A4),Network pharmacology and molecular simulation reveal the entourage effect mechanisms of psilocybin-producing mushrooms on the brain,2026,Zurika Murray; Angélique Lewies; Johannes F. Wentzel; Marietjie Schutte-Smith; Elizabeth Erasmus; Anwar E.M. Noreljaleel; Hendrik G. Visser; Anke Wilhelm; Abdul Rashid Issahaku,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
10,10.1017/neu.2026.10059,,Sigma-2 receptor (TMEM97),Neurorestorative properties of ibogaine: linking multi-receptor affinities to remyelination and metabolic restoration,2026,Tanya Calvey; D. Govender; Gavin Owen; Nancy Tumba; Dirk Lang; Bernard Lerer; Dan J Stein; Steven Shoptaw,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
11,10.3390/biomedicines14020476,,kappa opioid receptor (OPRK1),Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A,2026,Maximiliano Ganado; Carmen Rubio; Javier Pérez-Villavicencio; Norma Serrano; Héctor Romo-Parra; Ángel Lee; Moisés Rubio-Osornio,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
12,10.64898/2026.04.16.718915,,5-HT1E,Serotonergic Polypharmacology of 2-Halogenated Tryptamines,2026,Jeanine Yacoub; Elena Bray; Jude Bayyat; Grant C. Glatfelter; Alex Leake; Emilia M Buitrago; Alexander D. Maitland; John Partilla; Natalie G. Cavalco; Serena S. Schalk,candidate_paper_corpus | mechanistic:paper_library
13,10.1038/s41380-026-03447-0,,5-HT1D,Spatiotemporal mapping of brain organisation following the administration of 2C-B and psilocybin,2026,Pablo Mallaroni; S. Parker Singleton; Natasha L. Mason; Theodore D. Satterthwaite; Johannes G. Ramaekers,candidate_paper_corpus | mechanistic:paper_library
16,10.36219/bpi.2025.2,,D4 receptor (DRD4),,2025,Roxana Chiri -Md; Grigore Popa; Vasile Chiri -Md; Alexandra Bolo -Md; Romeo Dobrin -Md; Cristina Dobre -Md; Cristinel tefnescu -Md; Clina Goglniceanu; Laura Pricop -Researcher; Al Cuza,candidate_paper_corpus | disorder:paper_library
17,10.1038/s41380-025-03128-4,,SERT (SLC6A4),5-HT2C receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2025,Matthew B. Pomrenze; Sam Vaillancourt; Juliana S. Salgado; Kendall B. Raymond; Pierre Llorach; Hiroaki Sacai; Daniel Ryskamp Rijsketic; Tuuli M. Hietamies; Gavin Touponse; Daniel F. Cardozo Pinto,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
18,10.1038/s41598-025-29642-7,,TrkB (NTRK2),"A comparative assessment of the antidepressant efficacy of ketamine, psilocybin, and fluoxetine in a chronic stress model",2025,Małgorzata Domżalska; Joanna Kwiatkowska; Iwona Cichoń; Ewa Sokołowska,candidate_paper_corpus | disorder:paper_library
19,10.3389/fnins.2025.1587794,,D4 receptor (DRD4),"A review of the neuroscience of religion: an overview of the field, its limitations, and future interventions",2025,Harrison M. Carvour; Anna K. Radke; N French,candidate_paper_corpus | mechanistic:paper_library
20,10.3390/ijms26062815,,mu opioid receptor (OPRM1),Acute Effects of the Psychedelic Phenethylamine 25I-NBOMe in C57BL/6J Male Mice,2025,Sabrine Bilel; Cristina Miliano; Giorgia Corli; M. Bassi; Massimo Trusel; Raffaella Tonini; Maria Antonietta De Luca; Matteo Marti,candidate_paper_corpus | mechanistic:paper_library
21,10.3389/fnins.2025.1691987,,Sigma-1 receptor (SIGMAR1),Advancing depression treatment: the role of sigma receptor ligands,2025,Peng Zhang; Zeqiong Ning; Haixia Chen; Jia Chen; Zhihong Lu; Feifei Xu,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
22,10.12804/revistas.urosario.edu.co/apl/a.13339,,5-HT5A,"Efecto y potencia de los psicodélicos a nivel psicofarmacológico, psicológico y neurobiológico",2025,Guillermo Alonso Castaño Pérez; Sebastián Iguarán; L. A. Murillo; Daniel Espinosa Duque,candidate_paper_corpus | mechanistic:paper_library
23,10.1186/s10194-025-02008-0,,5-HT1D,Ergotamine enhances circadian amplitude and diurnally mitigates nitroglycerin-induced mechanical hypersensitivity,2025,Chorong Han; Hwayoung Baek; Ji Ye Lim; Eunju Kim; Celia K. Tran; Emma Freeman; Zheng Chen; Seung‐Hee Yoo; Mark J. Burish,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
24,10.1007/s10571-025-01569-7,,D2 receptor (DRD2),Ethanol-Induced Depression: Exploring the Underlying Molecular Mechanisms,2025,Habibeh Mashayekhi‐Sardoo; Fateme Razazpour; Zohreh Hakemi; Mahdiyeh Hedayati‐Moghadam; Yousef Baghcheghi,candidate_paper_corpus | mechanistic:paper_library
26,10.55041/ijsrem51743,,D2 receptor (DRD2),Exploring the Influence of Genetic Variation in the HTR2A Gene on the Pharmacodynamic Response to Antipsychotic Medications,2025,Saanvi Kondapelli,candidate_paper_corpus | mechanistic:paper_library
27,10.1038/s41573-024-01083-3,,D1 receptor (DRD1),Functional dynamics of G protein-coupled receptors reveal new routes for drug discovery,2025,Paolo Conflitti; Edward Lyman; Mark S.P. Sansom; Peter W. Hildebrand; Hugo Gutiérrez‐de‐Terán; Paolo Carloni; T. Bertie Ansell; Shuguang Yuan; Patrick Barth; Anne S. Robinson,candidate_paper_corpus | mechanistic:paper_library
28,10.3390/futurepharmacol5030042,,D3 receptor (DRD3),Future Pharmacotherapy for Bipolar Disorders: Emerging Trends and Personalized Approaches,2025,Giuseppe Marano; Francesco Maria Lisci; Gianluca Boggio; Ester Maria Marzo; Francesca Abate; Greta Sfratta; Gianandrea Traversi; Osvaldo Mazza; Roberto Pola; Gabriele Sani,candidate_paper_corpus | mechanistic:paper_library
