line_no,doi,compound,entity,title,year,authors,existing_sources
3,10.3390/biomedicines14030506,5-MeO-DMT,5-HT6,"Ayahuasca and Its Main Component N,N-Dimethyltryptamine (DMT) for the Treatment of Mental Disorders: Mechanisms of Action, Clinical Studies, and Tools to Explore the Human Mind",2026,Alice Melani; Giorgia Papini; Marco Bonaso; Letizia Biso; Shivakumar Kolachalam; Nicola Luigi Bragazzi; Ciro Conversano; Graziella Orrù; Biancamaria Longoni; Marco Scarselli,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
6,10.25593/open-fau-2619,LSD,5-HT5A,Effects of Serotonergic Psychedelics on Synaptic Function and Neuroplasticity,2026,Aneta Petrušková,candidate_paper_corpus | mechanistic:paper_library
10,10.3390/ijms27010465,Psilocybin,5-HT6,Harnessing Dietary Tryptophan: Bridging the Gap Between Neurobiology and Psychiatry in Depression Management,2026,Amanda Chabrour Chehadi; Enzo Pereira de Lima; Cláudia Rucco Penteado Detregiachi; Rafael Santos de Argollo Haber; Virgínia Maria Cavallari Strozze Catharin; Lucas Fornari Laurindo; Vítor Engrácia Valenti; Cristiano Machado Galhardi; Masaru Tanaka; Sandra Maria Barbalho,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
11,10.64898/2026.03.19.712961,LSD,TrkB (NTRK2),Integrated 5-HT <sub>2A</sub> –TrkB and G protein signaling in serotonergic psychedelic responses,2026,Marco Taddei-Tardon; Lidia Medina-Rodríguez; Jessica L. Maltman; Sarah Hudson; Sritanvi Potukanuma; Javier Hidalgo Jiménez; Sandra M. Martin-Guerrero; Javier Gonzalez-Maeso; Juan F Lopez-Gimenez,mechanistic:paper_library
14,10.1017/neu.2026.10059,DMT,Sigma-2 receptor (TMEM97),Neurorestorative properties of ibogaine: linking multi-receptor affinities to remyelination and metabolic restoration,2026,Tanya Calvey; D. Govender; Gavin Owen; Nancy Tumba; Dirk Lang; Bernard Lerer; Dan J Stein; Steven Shoptaw,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
15,10.1038/s41467-026-68763-z,Psilocybin,5-HT1D,No evidence of immediate or persistent analgesic effect from a single dose of psilocybin in three mouse models of pain,2026,Nicholas Gregory; Tyler E. Girard; Akila Ram; Austen B. Casey; RC Malenka; Vivianne L. Tawfik; Boris D. Heifets,candidate_paper_corpus | disorder:paper_library
16,10.3390/biomedicines14020476,LSD,kappa opioid receptor (OPRK1),Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A,2026,Maximiliano Ganado; Carmen Rubio; Javier Pérez-Villavicencio; Norma Serrano; Héctor Romo-Parra; Ángel Lee; Moisés Rubio-Osornio,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
17,10.3390/ijms27094122,DMT,mu opioid receptor (OPRM1),Opioid Signaling in Multiple Sclerosis: Emerging Targets for Repair,2026,Renata Perlikowska; Małgorzata Domowicz; Agnieszka Śliwińska; Mariusz Stasiołek,mechanistic:paper_library
18,10.3389/fnins.2026.1782246,DMT,5-HT6,Partners in plasticity: serotonergic glial interactions in brain circuit remodeling,2026,Vanessa Kay Miller; Kendal Broadie,candidate_paper_corpus | mechanistic:paper_library
20,10.7759/cureus.100719,Psilocybin,SERT (SLC6A4),"Safety Concerns, Mechanistic Pathways, and Knowledge Gaps in the Clinical Use of Selective Serotonin Reuptake Inhibitors",2026,Adrian Chin Yan Chan,candidate_paper_corpus | disorder:paper_library
21,10.64898/2026.04.16.718915,LSD,5-HT1D,Serotonergic Polypharmacology of 2-Halogenated Tryptamines,2026,Jeanine Yacoub; Elena Bray; Jude Bayyat; Grant C. Glatfelter; Alex Leake; Emilia M Buitrago; Alexander D. Maitland; John Partilla; Natalie G. Cavalco; Serena S. Schalk,candidate_paper_corpus | mechanistic:paper_library
22,10.1038/s41380-026-03447-0,Psilocybin,5-HT1D,Spatiotemporal mapping of brain organisation following the administration of 2C-B and psilocybin,2026,Pablo Mallaroni; S. Parker Singleton; Natasha L. Mason; Theodore D. Satterthwaite; Johannes G. Ramaekers,candidate_paper_corpus | mechanistic:paper_library
24,10.36219/bpi.2025.2,DMT,D4 receptor (DRD4),,2025,Roxana Chiri -Md; Grigore Popa; Vasile Chiri -Md; Alexandra Bolo -Md; Romeo Dobrin -Md; Cristina Dobre -Md; Cristinel tefnescu -Md; Clina Goglniceanu; Laura Pricop -Researcher; Al Cuza,candidate_paper_corpus | disorder:paper_library
25,10.1038/s41380-025-03128-4,Psilocybin,SERT (SLC6A4),5-HT2C receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2025,Matthew B. Pomrenze; Sam Vaillancourt; Juliana S. Salgado; Kendall B. Raymond; Pierre Llorach; Hiroaki Sacai; Daniel Ryskamp Rijsketic; Tuuli M. Hietamies; Gavin Touponse; Daniel F. Cardozo Pinto,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
26,10.2218/gtopdb/f1/2025.3,LSD,5-HT1E,5-Hydroxytryptamine receptors in GtoPdb v.2025.3,2025,Ricardo Andrade; P.P.A. Humphrey; Klaus Peter Latté; Luc Maroteaux; Graeme R. Martin; Derek N. Middlemiss; Ewan J. Mylecharane; John F. Neumaier; Stephen J. Peroutka; John A. Peters,candidate_paper_corpus | mechanistic:paper_library
27,10.3389/fnins.2025.1587794,Psilocybin,D4 receptor (DRD4),"A review of the neuroscience of religion: an overview of the field, its limitations, and future interventions",2025,Harrison M. Carvour; Anna K. Radke; N French,candidate_paper_corpus | mechanistic:paper_library
28,10.3390/ijms26062815,LSD,mu opioid receptor (OPRM1),Acute Effects of the Psychedelic Phenethylamine 25I-NBOMe in C57BL/6J Male Mice,2025,Sabrine Bilel; Cristina Miliano; Giorgia Corli; M. Bassi; Massimo Trusel; Raffaella Tonini; Maria Antonietta De Luca; Matteo Marti,candidate_paper_corpus | mechanistic:paper_library
30,10.1016/j.neurot.2025.e00624,Psilocin,TAAR1,Applications of artificial intelligence in drug discovery for neurological diseases,2025,Sean Ekins; Thomas R. Lane,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
31,10.2174/011570159x340635241022113450,Psilocin,TAAR1,"Aryl Hydrocarbon Receptor Establishes a Delicate Balance between the Level of the Trace Amine Tryptamine and Monoamine Oxidase Activity in the Brain and Periphery in Health and Conditions such as Neurodegenerative, Neurodevelopmental, and Psychiatric Disorders",2025,Marta Kot,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
32,10.1176/appi.ajp.20230890,Psilocybin,5-HT1A,"Benefits and Challenges of Ultra-Fast, Short-Acting Psychedelics in the Treatment of Depression",2025,Johannes G. Ramaekers; Johannes T. Reckweg; Natasha L. Mason,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library
34,10.1038/s41467-025-56850-6,5-MeO-DMT,NMDA receptor,Classification of psychedelics and psychoactive drugs based on brain-wide imaging of cellular c-Fos expression,2025,Farid Aboharb; Pasha A. Davoudian; Ling-Xiao Shao; Clara Liao; Gillian N. Rzepka; Cassandra Wojtasiewicz; Jonathan Indajang; Mark Dibbs; Jocelyne Rondeau; Alexander M. Sherwood,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
35,10.1007/s40262-024-01454-4,Bufotenin,5-HT2A,Clinical Pharmacokinetics of Psilocin After Psilocybin Administration: A Systematic Review and Post-Hoc Analysis,2025,Marije E. Otto; Katelijne V. van der Heijden; Jan W. Schoones; Michiel J. van Esdonk; Laura Borghans; Gabriël E. Jacobs; J. G. Coen van Hasselt,candidate_paper_corpus | disorder:paper_library
38,10.12804/revistas.urosario.edu.co/apl/a.13339,Psilocybin,5-HT5A,"Efecto y potencia de los psicodélicos a nivel psicofarmacológico, psicológico y neurobiológico",2025,Guillermo Alonso Castaño Pérez; Sebastián Iguarán; L. A. Murillo; Daniel Espinosa Duque,candidate_paper_corpus | mechanistic:paper_library
41,10.1007/s00213-025-06856-1,Psilocybin,5-HT1D,Effects of selected alkaloids on postnatal neurogenesis - in vivo and in vitro studies - literature review,2025,Bartłomiej Kwiatkowski; Natalia Biedroń; Urszula Gawryś; Wiktoria Tochman; Alicja Szklarska; Dorota Luchowska-Kocot,candidate_paper_corpus | mechanistic:paper_library
