# discovered queue (mechanistic) generated at 2026-05-17T02:01:37.042106+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.3390/biomedicines14030506,5-MeO-DMT,5-HT6,"Ayahuasca and Its Main Component N,N-Dimethyltryptamine (DMT) for the Treatment of Mental Disorders: Mechanisms of Action, Clinical Studies, and Tools to Explore the Human Mind",2026,Alice Melani; Giorgia Papini; Marco Bonaso; Letizia Biso; Shivakumar Kolachalam; Nicola Luigi Bragazzi; Ciro Conversano; Graziella Orrù; Biancamaria Longoni; Marco Scarselli
10.11588/heidok.00038014,LSD,DAT (SLC6A3),Behavioral and Molecular Mechanisms of Cocaine Addiction Vulnerability: Functional Evidence from Rodent Models,2026,Veronika Pohořalá
10.1038/s41467-026-71574-x,Psilocybin,D1 receptor (DRD1),CB1 receptor signaling at the cingulate-striatal circuit is anxiogenic,2026,Thomas J. Kelly; Xiaojie Liu; Yao Huang; Ying Hu; Vladislav Friedman; Cecilia J. Hillard; Qing-song Liu
10.25593/open-fau-2619,LSD,5-HT5A,Effects of Serotonergic Psychedelics on Synaptic Function and Neuroplasticity,2026,Aneta Petrušková
10.20944/preprints202602.1080.v1,LSD,CB1 receptor (CNR1),Endocannabinoid Enhancement via MAGL Inhibition in CDKL5 Deficiency: Selective Cellular Benefits and Constrained Functional Impact in &lt;em&gt;Cdkl5&lt;/em&gt; KO Mice,2026,Manuela Loi; Nicola Mottolese; Giorgio Medici; Feliciana Iannibelli; Nicolò Interino; Giulia Candini; Federica Trebbi; Angelica Marina Bove; Jessica Fiori; Stefania Trazzi
10.5282/edoc.36718,LSD,Sigma-1 receptor (SIGMAR1),Epilepsie-assoziierte Veränderungen der Sigma-1-Expression in chronischen Mausmodellen der Temporallappenepilepsie,2026,Victoria Magna Stocker
10.21203/rs.3.rs-8913130/v1,LSD,TrkB (NTRK2),H3K9me3 inhibition reverses Alzheimer′s progression by restoring synaptic and immune proteostasis across the brain–retina axis,2026,Maya Koronyo-Hamaoui; Dieu‐Trang Fuchs; Jean‐Philippe Vit; Altan Rentsendorj; Yosef Koronyo; Julia Sheyn; Bhakta Prasad Gaire; Saba Shahin; Haoshen Shi; Oksana Chepurna
10.3390/ijms27010465,Psilocybin,5-HT6,Harnessing Dietary Tryptophan: Bridging the Gap Between Neurobiology and Psychiatry in Depression Management,2026,Amanda Chabrour Chehadi; Enzo Pereira de Lima; Cláudia Rucco Penteado Detregiachi; Rafael Santos de Argollo Haber; Virgínia Maria Cavallari Strozze Catharin; Lucas Fornari Laurindo; Vítor Engrácia Valenti; Cristiano Machado Galhardi; Masaru Tanaka; Sandra Maria Barbalho
10.64898/2026.03.19.712961,LSD,TrkB (NTRK2),Integrated 5-HT <sub>2A</sub> –TrkB and G protein signaling in serotonergic psychedelic responses,2026,Marco Taddei-Tardon; Lidia Medina-Rodríguez; Jessica L. Maltman; Sarah Hudson; Sritanvi Potukanuma; Javier Hidalgo Jiménez; Sandra M. Martin-Guerrero; Javier Gonzalez-Maeso; Juan F Lopez-Gimenez
10.22271/chemi.2026.v14.i3a.12666,5-MeO-DMT,5-HT1B,"Integrated molecular simulation, in vitro antioxidant evaluation, and in silico ADMET profiling of perylene-2,8-dione derivatives as potential therapeutics targeting oxidative stress in CNS disorders",2026,Sweta Rai; Jay Kumar; Pratima Katiyar; Prakash Chandra Gupta
10.1007/s12035-026-05780-5,DMT,CB1 receptor (CNR1),Neuroprotective Role of Cannabinoid CB1 and GPR55 Receptors in a Cell Model of Multiple Sclerosis,2026,Eva Martínez-Pinilla; José Manuel Calatayud-Morán; Carlota Menéndez-Pérez; Sandra Villar-Conde; Rafael Rivas-Santisteban; Rafael Peláez; Ana Navarro; Rafael Franco
10.1017/neu.2026.10059,DMT,Sigma-2 receptor (TMEM97),Neurorestorative properties of ibogaine: linking multi-receptor affinities to remyelination and metabolic restoration,2026,Tanya Calvey; D. Govender; Gavin Owen; Nancy Tumba; Dirk Lang; Bernard Lerer; Dan J Stein; Steven Shoptaw
10.1038/s41467-026-68763-z,Psilocybin,5-HT1D,No evidence of immediate or persistent analgesic effect from a single dose of psilocybin in three mouse models of pain,2026,Nicholas Gregory; Tyler E. Girard; Akila Ram; Austen B. Casey; RC Malenka; Vivianne L. Tawfik; Boris D. Heifets
10.3390/biomedicines14020476,LSD,kappa opioid receptor (OPRK1),Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A,2026,Maximiliano Ganado; Carmen Rubio; Javier Pérez-Villavicencio; Norma Serrano; Héctor Romo-Parra; Ángel Lee; Moisés Rubio-Osornio
10.3390/ijms27094122,DMT,mu opioid receptor (OPRM1),Opioid Signaling in Multiple Sclerosis: Emerging Targets for Repair,2026,Renata Perlikowska; Małgorzata Domowicz; Agnieszka Śliwińska; Mariusz Stasiołek
